sk_corrida,fk_evento,tp_corrida,hr_corrida
1,2,4,2022-12-30 19:00:00
2,2,3,2022-12-30 19:00:00
3,3,4,2022-12-30 18:15:00
4,3,3,2022-12-30 18:15:00
5,1,4,2022-12-30 17:30:00
6,1,3,2022-12-30 17:30:00
7,6,4,2022-12-29 21:15:00
8,6,3,2022-12-29 21:15:00
9,5,4,2022-12-29 20:30:00
10,5,3,2022-12-29 20:30:00
11,8,4,2022-12-29 19:45:00
12,8,3,2022-12-29 19:45:00
13,7,4,2022-12-29 19:00:00
14,7,3,2022-12-29 19:00:00
15,4,4,2022-12-29 18:15:00
16,4,3,2022-12-29 18:15:00
17,12,4,2022-12-28 21:15:00
18,12,3,2022-12-28 21:15:00
19,11,4,2022-12-28 20:30:00
20,11,3,2022-12-28 20:30:00
21,10,4,2022-12-28 19:45:00
22,10,3,2022-12-28 19:45:00
23,9,4,2022-12-28 19:00:00
24,9,3,2022-12-28 19:00:00
25,13,4,2022-12-28 18:15:00
26,13,3,2022-12-28 18:15:00
27,15,4,2022-12-27 20:30:00
28,15,3,2022-12-27 20:30:00
29,16,4,2022-12-27 19:45:00
30,16,3,2022-12-27 19:45:00
31,14,4,2022-12-27 19:00:00
32,14,3,2022-12-27 19:00:00
33,17,4,2022-12-27 18:15:00
34,17,3,2022-12-27 18:15:00
35,18,4,2022-12-27 17:30:00
36,18,3,2022-12-27 17:30:00
37,19,4,2022-12-27 16:45:00
38,19,3,2022-12-27 16:45:00
39,21,4,2022-12-26 19:45:00
40,21,3,2022-12-26 19:45:00
41,20,4,2022-12-26 18:15:00
42,20,3,2022-12-26 18:15:00
43,1775,4,2022-12-23 22:45:00
44,1775,3,2022-12-23 22:45:00
45,1776,4,2022-12-23 22:00:00
46,1776,3,2022-12-23 22:00:00
47,1774,4,2022-12-23 21:15:00
48,1774,3,2022-12-23 21:15:00
49,1777,4,2022-12-23 20:30:00
50,1777,3,2022-12-23 20:30:00
51,1780,4,2022-12-23 19:45:00
52,1780,3,2022-12-23 19:45:00
53,1778,4,2022-12-23 19:00:00
54,1778,3,2022-12-23 19:00:00
55,1779,4,2022-12-23 18:15:00
56,1779,3,2022-12-23 18:15:00
57,1781,4,2022-12-23 16:45:00
58,1781,3,2022-12-23 16:45:00
59,22,4,2022-12-22 22:00:00
60,22,3,2022-12-22 22:00:00
61,27,4,2022-12-22 21:15:00
62,27,3,2022-12-22 21:15:00
63,26,4,2022-12-22 20:30:00
64,26,3,2022-12-22 20:30:00
65,25,4,2022-12-22 19:45:00
66,25,3,2022-12-22 19:45:00
67,24,4,2022-12-22 19:00:00
68,24,3,2022-12-22 19:00:00
69,23,4,2022-12-22 18:15:00
70,23,3,2022-12-22 18:15:00
71,32,4,2022-12-21 22:45:00
72,32,3,2022-12-21 22:45:00
73,31,4,2022-12-21 21:15:00
74,31,3,2022-12-21 21:15:00
75,30,4,2022-12-21 20:30:00
76,30,3,2022-12-21 20:30:00
77,29,4,2022-12-21 19:45:00
78,29,3,2022-12-21 19:45:00
79,28,4,2022-12-21 19:00:00
80,28,3,2022-12-21 19:00:00
81,33,4,2022-12-20 22:00:00
82,33,3,2022-12-20 22:00:00
83,35,4,2022-12-20 21:15:00
84,35,3,2022-12-20 21:15:00
85,34,4,2022-12-20 20:30:00
86,34,3,2022-12-20 20:30:00
87,37,4,2022-12-20 19:45:00
88,37,3,2022-12-20 19:45:00
89,36,4,2022-12-20 19:00:00
90,36,3,2022-12-20 19:00:00
91,38,4,2022-12-20 18:15:00
92,38,3,2022-12-20 18:15:00
93,40,4,2022-12-18 19:00:00
94,40,3,2022-12-18 19:00:00
95,41,4,2022-12-18 18:15:00
96,41,3,2022-12-18 18:15:00
97,42,4,2022-12-18 17:30:00
98,42,3,2022-12-18 17:30:00
99,44,4,2022-12-18 16:45:00
100,44,3,2022-12-18 16:45:00
101,43,4,2022-12-18 16:00:00
102,43,3,2022-12-18 16:00:00
103,39,4,2022-12-18 15:15:00
104,39,3,2022-12-18 15:15:00
105,45,4,2022-12-18 13:00:00
106,45,3,2022-12-18 13:00:00
107,46,4,2022-12-18 11:30:00
108,46,3,2022-12-18 11:30:00
109,47,4,2022-12-18 10:45:00
110,47,3,2022-12-18 10:45:00
111,48,4,2022-12-18 09:30:00
112,48,3,2022-12-18 09:30:00
113,49,4,2022-12-18 08:30:00
114,49,3,2022-12-18 08:30:00
115,1783,4,2022-12-17 21:45:00
116,1783,3,2022-12-17 21:45:00
117,1784,4,2022-12-17 21:00:00
118,1784,3,2022-12-17 21:00:00
119,1785,4,2022-12-17 20:15:00
