sk_evento,dt_evento,hr_evento,pista,tp_evento
1,2022-12-30,17:30:00,1,0
2,2022-12-30,19:00:00,1,0
3,2022-12-30,18:15:00,1,1
4,2022-12-29,18:15:00,1,1
5,2022-12-29,20:30:00,1,1
6,2022-12-29,21:15:00,1,1
7,2022-12-29,19:00:00,1,1
8,2022-12-29,19:45:00,1,0
9,2022-12-28,19:00:00,1,1
10,2022-12-28,19:45:00,1,1
11,2022-12-28,20:30:00,1,1
12,2022-12-28,21:15:00,1,1
13,2022-12-28,18:15:00,1,1
14,2022-12-27,19:00:00,1,1
15,2022-12-27,20:30:00,1,0
16,2022-12-27,19:45:00,1,0
17,2022-12-27,18:15:00,1,1
18,2022-12-27,17:30:00,1,1
19,2022-12-27,16:45:00,1,0
20,2022-12-26,18:15:00,1,1
21,2022-12-26,19:45:00,1,1
22,2022-12-22,22:00:00,1,0
23,2022-12-22,18:15:00,1,1
24,2022-12-22,19:00:00,1,1
25,2022-12-22,19:45:00,1,1
26,2022-12-22,20:30:00,1,0
27,2022-12-22,21:15:00,1,0
28,2022-12-21,19:00:00,1,1
29,2022-12-21,19:45:00,1,0
30,2022-12-21,20:30:00,1,0
31,2022-12-21,21:15:00,1,0
32,2022-12-21,22:45:00,1,1
33,2022-12-20,22:00:00,1,0
34,2022-12-20,20:30:00,1,0
35,2022-12-20,21:15:00,1,0
36,2022-12-20,19:00:00,1,1
37,2022-12-20,19:45:00,1,1
38,2022-12-20,18:15:00,1,1
39,2022-12-18,15:15:00,1,1
40,2022-12-18,19:00:00,1,0
41,2022-12-18,18:15:00,1,0
42,2022-12-18,17:30:00,1,1
43,2022-12-18,16:00:00,1,1
44,2022-12-18,16:45:00,1,1
45,2022-12-18,13:00:00,1,1
46,2022-12-18,11:30:00,1,0
47,2022-12-18,10:45:00,1,0
48,2022-12-18,09:30:00,1,0
49,2022-12-18,08:30:00,1,0
50,2022-12-16,19:00:00,1,1
51,2022-12-16,19:45:00,1,0
52,2022-12-16,20:30:00,1,0
53,2022-12-16,21:15:00,1,1
54,2022-12-15,21:15:00,1,0
55,2022-12-15,22:45:00,1,1
56,2022-12-15,22:00:00,1,0
57,2022-12-15,17:30:00,1,1
58,2022-12-15,20:30:00,1,0
59,2022-12-15,19:45:00,1,0
60,2022-12-14,12:00:00,1,0
61,2022-12-14,19:00:00,1,1
62,2022-12-14,19:45:00,1,0
63,2022-12-14,21:15:00,1,0
64,2022-12-14,22:00:00,1,0
65,2022-12-13,19:45:00,1,1
66,2022-12-11,14:30:00,1,1
67,2022-12-11,19:00:00,1,1
68,2022-12-11,18:15:00,1,0
69,2022-12-11,17:30:00,1,0
70,2022-12-11,16:45:00,1,0
71,2022-12-11,16:00:00,1,1
72,2022-12-11,00:00:00,1,0
73,2022-12-11,13:00:00,1,1
74,2022-12-11,11:30:00,1,0
75,2022-12-11,10:45:00,1,0
76,2022-12-11,10:00:00,1,0
77,2022-12-11,09:15:00,1,0
78,2022-12-11,08:30:00,1,0
79,2022-12-10,13:30:00,1,1
80,2022-12-10,14:15:00,1,1
81,2022-12-10,15:45:00,1,0
82,2022-12-10,16:45:00,1,1
83,2022-12-10,17:15:00,1,1
84,2022-12-10,18:00:00,1,1
85,2022-12-10,18:45:00,1,0
86,2022-12-10,19:30:00,1,1
87,2022-12-10,20:15:00,1,0
88,2022-12-09,20:30:00,1,0
89,2022-12-09,19:45:00,1,1
90,2022-12-09,09:30:00,1,0
91,2022-12-08,16:45:00,1,1
92,2022-12-08,17:30:00,1,0
93,2022-12-08,19:00:00,1,1
94,2022-12-08,19:45:00,1,1
95,2022-12-08,20:30:00,1,0
96,2022-12-08,21:15:00,1,1
97,2022-12-08,22:45:00,1,0
98,2022-12-08,15:15:00,1,0
99,2022-12-07,19:45:00,1,1
100,2022-12-06,21:15:00,1,0
101,2022-12-06,22:00:00,1,0
102,2022-12-06,18:15:00,1,1
103,2022-12-06,20:30:00,1,0
104,2022-12-04,18:15:00,1,0
105,2022-12-04,14:30:00,1,0
106,2022-12-04,17:30:00,1,1
107,2022-12-04,16:45:00,1,1
108,2022-12-04,16:00:00,1,1
109,2022-12-04,15:15:00,1,0
110,2022-12-04,09:15:00,1,0
111,2022-12-04,12:15:00,1,1
112,2022-12-04,11:30:00,1,0
113,2022-12-04,10:45:00,1,1
114,2022-12-04,10:00:00,1,0
115,2022-12-04,08:30:00,1,0
116,2022-12-03,21:45:00,1,1
117,2022-12-03,21:00:00,1,0
118,2022-12-03,17:15:00,1,0
119,2022-12-03,18:45:00,1,1
120,2022-12-03,19:30:00,1,0
