sk_resultado,fk_corrida,fk_piloto,categoria,num_kart,classificacao,velocidade_media
1,1,4561,1,21,1,50.57
2,1,332,1,9,2,47.9
3,1,25231,1,30,3,47.21
4,1,16979,1,1,4,47.01
5,1,16980,1,13,5,46.88
6,1,29502,1,37,6,46.48
7,1,8686,1,32,7,46.42
8,1,25347,1,27,8,46.66
9,1,16981,1,15,10,45.76
10,1,8809,1,23,11,45.76
11,1,21203,1,3,12,45.31
12,1,29503,1,2,13,45.33
13,1,12895,1,16,14,45.16
14,1,29504,1,28,15,44.01
15,1,437,1,29,16,43.71
16,1,16859,1,31,17,40.93
17,1,8807,1,6,18,40.79
18,1,21204,1,39,20,37.88
19,1,25348,1,35,21,37.9
20,1,447,1,7,22,35.13
21,2,4561,1,21,1,53.12
22,2,332,1,9,2,51.95
23,2,25231,1,30,3,51.85
24,2,21203,1,3,4,50.84
25,2,8686,1,32,5,50.71
26,2,29502,1,37,6,50.61
27,2,16979,1,1,8,49.78
28,2,29503,1,2,9,49.67
29,2,25347,1,27,11,48.46
30,2,437,1,29,12,48.15
31,2,12895,1,16,13,48.14
32,2,16980,1,13,14,47.61
33,2,8809,1,8,15,46.87
34,2,16981,1,15,16,46.05
35,2,16859,1,24,17,45.32
36,2,29504,1,28,18,43.26
37,2,447,1,7,19,42.94
38,2,8807,1,6,20,41.19
39,2,21204,1,39,21,39.32
40,2,25348,1,35,22,31.44
41,3,8810,1,22,1,54.3
42,3,8811,1,8,3,52.61
43,3,21205,1,25,4,51.75
44,3,12897,1,42,5,51.19
45,3,12524,1,29,6,50.0
46,3,25350,1,23,7,47.99
47,3,4562,1,40,8,47.43
48,3,16982,1,24,9,47.35
49,3,448,1,1,10,46.44
50,3,25351,1,31,11,45.04
51,3,12898,1,6,12,43.97
52,3,12899,1,39,13,42.18
53,3,12900,1,37,14,39.59
54,3,16983,1,27,15,39.46
55,3,29505,1,32,17,37.98
56,3,8812,1,34,18,36.14
57,3,4563,1,26,19,33.01
58,3,12901,1,30,20,31.51
59,4,8810,1,22,1,54.4
60,4,8811,1,8,2,52.62
61,4,21205,1,25,4,52.23
